Area,Latitude,Longitude,Orders
Koramangala,12.9352,77.6245,450
Indiranagar,12.9784,77.6408,520
HSR Layout,12.9121,77.6446,380
Whitefield,12.9698,77.7500,610
Jayanagar,12.9308,77.5838,340
Malleshwaram,13.0031,77.5643,290
Electronic City,12.8399,77.6770,480
BTM Layout,12.9166,77.6101,310
Marathahalli,12.9591,77.6974,430
Hebbal,13.0358,77.5970,390
Bellandur,12.9260,77.6762,560
Banashankari,12.9156,77.5736,270
Rajajinagar,12.9901,77.5525,320
Yelahanka,13.1007,77.5963,240
JP Nagar,12.9063,77.5857,360
Basavanagudi,12.9416,77.5755,210
Frazer Town,12.9972,77.6144,190
Sarjapur Road,12.9081,77.6890,470
Richmond Town,12.9667,77.6000,280
Ulsoor,12.9817,77.6200,330
