Area,Latitude,Longitude,Orders
Whitefield,12.9698,77.7499,4280
Marathahalli,12.9592,77.6974,3120
Bellandur,12.9304,77.6784,2680
Koramangala,12.9352,77.6245,3890
Indiranagar,12.9784,77.6408,3410
HSR Layout,12.9121,77.6446,3560
Jayanagar,12.9250,77.5838,2740
Electronic City,12.8452,77.6602,4020
Bommanahalli,12.8988,77.6179,1980
Sarjapur Road,12.9010,77.6874,2210
Yelahanka,13.1007,77.5963,2540
Hebbal,13.0358,77.5970,2870
Rajajinagar,12.9916,77.5522,1760
Malleswaram,13.0035,77.5648,1640
MG Road,12.9750,77.6066,2090
Banashankari,12.9255,77.5468,1880
